,index,counts
689,2023-10-04T03:22:44Z,2
690,2023-10-04T01:46:37Z,0
691,2023-10-03T05:30:38Z,0
692,2023-10-02T15:41:25Z,2
693,2023-09-30T00:45:46Z,1
694,2023-09-24T17:36:07Z,13
695,2023-09-19T04:56:20Z,2
696,2023-09-17T11:45:49Z,2
697,2023-09-16T04:56:59Z,2
698,2023-09-13T17:42:41Z,8
699,2023-09-09T03:35:36Z,1
700,2023-09-07T01:07:20Z,5
701,2023-09-06T19:04:12Z,0
702,2023-08-29T16:49:34Z,0
703,2023-08-27T19:21:06Z,5
704,2023-08-20T11:33:31Z,15
705,2023-08-20T08:32:48Z,0
706,2023-08-17T11:12:05Z,48
707,2023-08-15T06:39:17Z,0
708,2023-08-15T06:38:50Z,0
709,2023-08-15T06:38:29Z,0
710,2023-08-14T00:08:19Z,0
711,2023-08-14T00:08:08Z,0
712,2023-08-12T11:27:18Z,4
713,2023-08-08T20:12:45Z,2
714,2023-08-08T14:26:55Z,0
715,2023-08-08T06:19:13Z,0
716,2023-08-05T11:08:29Z,4
717,2023-08-03T18:18:58Z,8
718,2023-08-03T00:16:06Z,0
719,2023-08-03T00:12:59Z,0
720,2023-08-02T03:30:06Z,1
721,2023-08-02T01:42:49Z,4
722,2023-07-30T22:33:14Z,8
723,2023-07-30T22:14:49Z,1
724,2023-07-30T17:08:56Z,2
725,2023-07-30T11:29:00Z,0
726,2023-07-30T06:42:40Z,1
727,2023-07-29T13:12:34Z,3
728,2023-07-29T00:09:08Z,0
729,2023-07-28T21:20:42Z,0
730,2023-07-28T14:57:35Z,5
731,2023-07-27T19:55:00Z,3
732,2023-07-27T19:25:00Z,4
733,2023-07-27T19:01:14Z,0
734,2023-07-27T15:17:21Z,2
